snapshot_date,store_id,product_id,available_stock,on_hand_stock,reserved_stock,committed_stock,inventory_on_order,safety_stock
2025-10-30,S023,P02086,160,229,63,6,59,79
2025-02-02,S099,P02598,239,370,28,103,15,36
2025-03-26,S100,P01797,209,237,9,19,83,29
2025-01-18,S049,P01879,29,41,4,8,108,63
2025-05-08,S023,P02335,32,58,12,14,60,40
2025-04-06,S030,P02404,123,230,48,59,144,95
2025-10-03,S094,P02019,34,36,1,1,147,78
2025-04-06,S076,P01296,322,579,109,148,56,56
2025-04-06,S012,P04319,377,523,55,91,183,70
2025-08-10,S055,P03287,390,537,90,57,116,34
2025-04-22,S081,P00183,226,350,65,59,11,23
2025-03-05,S046,P03456,242,421,111,68,98,49
2025-09-10,S027,P02610,92,205,56,57,99,35
2025-03-22,S017,P03342,58,97,26,13,168,78
2025-03-15,S097,P01788,148,218,59,11,50,13
2025-01-09,S075,P01063,235,339,24,80,19,13
2025-08-25,S035,P04601,57,65,4,4,193,73
2025-07-23,S040,P01497,272,442,47,123,129,69
2025-04-25,S060,P02458,234,308,65,9,22,27
2025-02-20,S089,P02444,409,564,38,117,141,98
2025-01-05,S065,P04740,115,229,63,51,177,82
2025-10-20,S041,P04543,55,82,15,12,23,59
2025-03-04,S038,P03455,363,474,70,41,51,80
2025-06-24,S058,P00262,93,176,34,49,42,72
2025-10-05,S024,P03760,267,499,139,93,152,79
2025-07-13,S090,P04337,25,26,0,1,63,92
2025-09-16,S052,P01081,358,557,39,160,156,36
2025-05-22,S096,P03354,59,94,26,9,183,54
2025-02-01,S082,P04713,174,376,103,99,166,82
2025-04-30,S081,P04033,341,536,54,141,6,73
2025-11-02,S020,P03603,302,516,105,109,81,78
2025-11-28,S059,P02993,94,111,5,12,157,81
2025-05-28,S049,P03988,139,217,48,30,92,46
2025-09-19,S018,P03282,32,52,12,8,134,46
2025-01-25,S026,P03470,284,455,81,90,198,94
2025-03-29,S062,P00436,327,329,0,2,165,53
2025-11-06,S026,P01027,48,54,6,0,38,63
2025-02-03,S008,P01850,342,553,73,138,101,32
2025-10-05,S056,P00197,139,148,7,2,65,74
2025-08-04,S078,P02491,136,184,26,22,70,24
2025-01-26,S039,P02899,322,553,120,111,134,41
2025-11-21,S091,P03704,35,54,5,14,54,29
2025-02-17,S015,P02388,342,584,159,83,101,25
2025-10-10,S004,P04904,256,468,99,113,7,25
2025-07-04,S025,P04544,91,140,12,37,55,63
2025-12-04,S051,P02446,57,75,15,3,192,48
2025-07-05,S038,P02821,379,550,35,136,20,22
2025-09-13,S030,P03085,262,356,45,49,116,54
2025-07-06,S100,P04240,198,258,52,8,179,50
2025-04-16,S069,P00931,421,543,39,83,82,94
2025-09-25,S084,P02159,197,277,71,9,17,98
2025-12-18,S092,P04616,93,110,1,16,55,83
2025-01-17,S049,P00594,311,359,3,45,139,62
2025-10-14,S040,P01928,108,246,67,71,185,56
2025-03-18,S040,P00433,92,196,54,50,104,87
2025-04-20,S096,P00305,339,567,122,106,187,26
2025-10-07,S010,P04157,25,32,1,6,107,11
2025-02-11,S028,P01041,276,394,31,87,20,61
2025-06-30,S095,P00071,319,573,163,91,197,64
2025-08-08,S079,P03348,126,271,80,65,130,15
2025-03-28,S044,P00158,384,510,54,72,87,77
2025-06-23,S082,P04766,244,466,103,119,166,27
2025-09-12,S028,P04531,41,56,1,14,93,89
2025-05-28,S045,P03265,268,283,0,15,5,29
2025-07-14,S063,P02267,113,196,30,53,127,16
2025-03-24,S029,P01117,208,304,64,32,154,35
2025-11-22,S067,P03792,97,109,1,11,37,72
2025-06-23,S060,P02612,256,366,92,18,97,57
2025-01-14,S001,P01261,96,115,8,11,99,53
2025-11-06,S058,P03456,19,29,3,7,81,87
2025-11-18,S017,P03596,311,417,94,12,197,78
2025-01-07,S051,P04647,177,249,26,46,179,98
2025-09-18,S030,P00485,321,466,121,24,77,52
2025-01-24,S026,P01246,64,105,30,11,165,68
2025-04-14,S023,P01678,237,264,10,17,84,47
