product_id,product_name,category,subcategory,brand,unit_cost,unit_price,size,color
P00001,Product 1,Accessories,Bags,BrandC,26.37,174.15,S,Blue
P00002,Product 2,Apparel,Caps,BrandB,107.68,22.88,L,Red
P00003,Product 3,Accessories,Bags,BrandB,68.14,240.97,L,Red
P00004,Product 4,Accessories,Caps,BrandA,41.29,124.98,L,Black
P00005,Product 5,Apparel,Bags,BrandB,104.61,54.57,M,Blue
P00006,Product 6,Apparel,Bags,BrandB,112.69,260.13,L,Blue
P00007,Product 7,Accessories,Caps,BrandC,31.08,67.41,M,Red
P00008,Product 8,Footwear,Bags,BrandB,137.59,277.02,M,Black
P00009,Product 9,Accessories,Shoes,BrandC,113.92,138.12,M,Blue
P00010,Product 10,Accessories,Caps,BrandB,140.34,225.41,S,Red
P00011,Product 11,Accessories,Shoes,BrandB,50.98,168.63,S,Red
P00012,Product 12,Accessories,Caps,BrandB,141.2,84.42,L,Red
P00013,Product 13,Apparel,Bags,BrandA,58.44,204.62,L,Black
P00014,Product 14,Accessories,Bags,BrandC,12.83,287.79,M,Black
P00015,Product 15,Footwear,Bags,BrandA,115.63,233.19,S,Red
P00016,Product 16,Apparel,Caps,BrandB,107.01,185.17,L,Red
P00017,Product 17,Footwear,Shoes,BrandA,91.7,297.28,L,Black
P00018,Product 18,Footwear,Shoes,BrandC,76.03,86.94,S,Red
P00019,Product 19,Footwear,Caps,BrandB,9.66,28.08,M,Red
P00020,Product 20,Footwear,Caps,BrandA,95.57,19.32,L,Black
P00021,Product 21,Apparel,Shoes,BrandA,65.44,216.1,L,Red
P00022,Product 22,Apparel,Shoes,BrandC,86.23,250.77,S,Red
P00023,Product 23,Footwear,Shoes,BrandA,67.25,194.18,S,Red
P00024,Product 24,Footwear,Shoes,BrandC,145.08,272.46,M,Black
P00025,Product 25,Apparel,Caps,BrandB,92.6,212.41,M,Black
P00026,Product 26,Apparel,Caps,BrandB,113.64,117.58,L,Black
P00027,Product 27,Apparel,Bags,BrandA,140.77,62.56,M,Blue
P00028,Product 28,Accessories,Shoes,BrandB,90.78,278.15,L,Blue
P00029,Product 29,Accessories,Bags,BrandB,6.75,40.04,L,Blue
P00030,Product 30,Accessories,Caps,BrandA,9.97,167.47,S,Blue
P00031,Product 31,Footwear,Caps,BrandB,106.84,101.06,L,Black
P00032,Product 32,Accessories,Bags,BrandA,45.47,88.71,S,Red
P00033,Product 33,Footwear,Shoes,BrandC,89.01,197.29,L,Black
P00034,Product 34,Footwear,Shoes,BrandC,34.33,77.06,L,Blue
P00035,Product 35,Accessories,Shoes,BrandC,44.19,275.75,L,Black
P00036,Product 36,Footwear,Shoes,BrandA,78.17,127.75,M,Red
P00037,Product 37,Accessories,Bags,BrandA,146.46,206.44,M,Blue
P00038,Product 38,Accessories,Bags,BrandB,94.36,221.05,S,Red
P00039,Product 39,Apparel,Caps,BrandB,140.74,208.05,L,Red
P00040,Product 40,Accessories,Shoes,BrandB,144.11,271.99,S,Red
P00041,Product 41,Apparel,Shoes,BrandB,35.18,77.03,S,Blue
P00042,Product 42,Accessories,Shoes,BrandB,50.12,34.96,L,Black
P00043,Product 43,Accessories,Bags,BrandA,116.65,26.09,M,Blue
P00044,Product 44,Apparel,Shoes,BrandA,130.68,264.57,M,Blue
P00045,Product 45,Apparel,Bags,BrandC,80.29,292.25,S,Black
P00046,Product 46,Accessories,Shoes,BrandC,149.02,97.73,M,Black
P00047,Product 47,Footwear,Shoes,BrandC,6.68,211.12,L,Black
P00048,Product 48,Apparel,Caps,BrandC,48.44,12.58,L,Black
P00049,Product 49,Footwear,Shoes,BrandA,95.36,64.7,M,Red
P00050,Product 50,Footwear,Shoes,BrandA,73.05,209.89,M,Blue
P00051,Product 51,Footwear,Caps,BrandA,21.91,29.11,S,Blue
P00052,Product 52,Apparel,Bags,BrandB,58.33,145.87,M,Blue
P00053,Product 53,Footwear,Bags,BrandB,8.69,202.15,S,Black
P00054,Product 54,Apparel,Shoes,BrandC,98.2,232.13,L,Blue
P00055,Product 55,Footwear,Bags,BrandB,134.45,141.61,L,Red
P00056,Product 56,Accessories,Shoes,BrandA,133.31,192.78,L,Blue
P00057,Product 57,Accessories,Caps,BrandC,106.43,166.48,M,Blue
P00058,Product 58,Apparel,Caps,BrandC,72.54,25.17,M,Red
P00059,Product 59,Accessories,Shoes,BrandB,79.24,225.41,M,Red
P00060,Product 60,Accessories,Caps,BrandC,24.85,59.98,S,Blue
P00061,Product 61,Footwear,Caps,BrandB,54.45,19.22,S,Black
P00062,Product 62,Apparel,Shoes,BrandB,32.22,140.84,S,Black
P00063,Product 63,Footwear,Shoes,BrandC,124.07,261.03,L,Blue
P00064,Product 64,Footwear,Caps,BrandB,137.64,53.74,S,Blue
P00065,Product 65,Footwear,Bags,BrandB,82.85,13.73,M,Blue
P00066,Product 66,Footwear,Bags,BrandB,110.53,41.89,M,Blue
P00067,Product 67,Footwear,Shoes,BrandB,22.61,115.46,L,Black
P00068,Product 68,Footwear,Shoes,BrandC,93.24,178.25,M,Blue
P00069,Product 69,Footwear,Bags,BrandA,106.9,65.97,M,Red
P00070,Product 70,Apparel,Caps,BrandA,70.65,242.57,M,Black
P00071,Product 71,Accessories,Bags,BrandB,40.27,228.46,S,Black
P00072,Product 72,Footwear,Bags,BrandB,132.22,211.8,S,Red
P00073,Product 73,Footwear,Bags,BrandB,112.72,151.37,M,Blue
P00074,Product 74,Footwear,Bags,BrandA,135.48,115.91,M,Blue
P00075,Product 75,Footwear,Shoes,BrandB,123.67,118.92,M,Blue
P00076,Product 76,Footwear,Shoes,BrandC,148.6,155.89,M,Blue
P00077,Product 77,Footwear,Caps,BrandC,32.87,32.42,S,Blue
P00078,Product 78,Accessories,Caps,BrandC,17.58,207.87,L,Red
P00079,Product 79,Accessories,Caps,BrandA,53.87,111.94,M,Blue
P00080,Product 80,Footwear,Caps,BrandB,23.71,75.18,S,Red
P00081,Product 81,Accessories,Bags,BrandB,80.85,90.71,M,Red
P00082,Product 82,Apparel,Shoes,BrandB,96.79,62.29,L,Red
P00083,Product 83,Footwear,Shoes,BrandA,88.85,271.45,S,Blue
P00084,Product 84,Apparel,Caps,BrandA,42.59,59.02,S,Blue
P00085,Product 85,Apparel,Caps,BrandA,136.78,266.05,L,Black
P00086,Product 86,Footwear,Bags,BrandA,8.07,175.95,L,Black
P00087,Product 87,Accessories,Bags,BrandC,55.46,261.56,S,Red
P00088,Product 88,Apparel,Caps,BrandA,109.25,147.48,L,Black
P00089,Product 89,Footwear,Shoes,BrandA,116.2,279.01,M,Red
P00090,Product 90,Apparel,Shoes,BrandA,65.34,71.33,L,Black
P00091,Product 91,Apparel,Shoes,BrandB,7.45,170.86,L,Blue
P00092,Product 92,Apparel,Caps,BrandB,94.62,46.49,S,Blue
P00093,Product 93,Apparel,Shoes,BrandB,14.15,139.69,L,Red
P00094,Product 94,Accessories,Bags,BrandC,20.64,175.27,S,Red
P00095,Product 95,Apparel,Bags,BrandC,99.29,185.65,M,Blue
P00096,Product 96,Apparel,Caps,BrandA,50.31,116.0,L,Blue
P00097,Product 97,Apparel,Bags,BrandB,55.46,32.14,L,Blue
P00098,Product 98,Accessories,Caps,BrandC,75.59,200.04,S,Black
P00099,Product 99,Apparel,Shoes,BrandB,146.89,151.65,S,Black
P00100,Product 100,Apparel,Shoes,BrandC,144.99,49.69,L,Black
P00101,Product 101,Accessories,Shoes,BrandC,65.36,281.4,S,Black
P00102,Product 102,Accessories,Bags,BrandA,43.5,287.14,L,Red
P00103,Product 103,Accessories,Caps,BrandA,48.88,258.42,M,Red
P00104,Product 104,Apparel,Shoes,BrandC,43.97,254.72,L,Black
P00105,Product 105,Accessories,Caps,BrandA,82.18,38.61,M,Red
P00106,Product 106,Accessories,Shoes,BrandC,92.99,298.09,M,Black
P00107,Product 107,Apparel,Bags,BrandC,75.87,126.11,S,Black
P00108,Product 108,Accessories,Bags,BrandB,64.16,57.31,S,Blue
P00109,Product 109,Apparel,Caps,BrandA,35.64,245.51,S,Black
P00110,Product 110,Footwear,Bags,BrandA,74.96,75.46,S,Red
P00111,Product 111,Accessories,Bags,BrandA,54.46,162.59,L,Black
P00112,Product 112,Footwear,Caps,BrandB,83.53,47.12,M,Blue
P00113,Product 113,Apparel,Shoes,BrandB,102.9,147.65,L,Red
P00114,Product 114,Accessories,Bags,BrandB,96.83,171.86,M,Blue
P00115,Product 115,Apparel,Caps,BrandA,72.06,139.32,M,Black
P00116,Product 116,Footwear,Bags,BrandA,85.63,30.15,M,Black
